MatchCode,Format,Week,Time,Player,Result,n_matches,n_wins,n_losses,last_match,Score,weeks_in_league,team_league
AFR1118,AFR,1,2021-07-21T20:13:02Z,Kevin O,Win,4,2,2,FALSE,2-0,6,FALSE
AFR1118,AFR,1,2021-07-21T20:13:02Z,John P,Loss,4,1,3,FALSE,2-0,6,FALSE
AFR1119,AFR,1,2021-07-21T20:57:58Z,John P,Win,5,2,3,FALSE,2-0,6,FALSE
AFR1119,AFR,1,2021-07-21T20:57:58Z,Brice C,Loss,3,2,1,FALSE,2-0,6,FALSE
AFR1120,AFR,1,2021-07-21T21:07:50Z,Paul S,Win,4,1,3,FALSE,2-0,6,FALSE
AFR1120,AFR,1,2021-07-21T21:07:50Z,Rick N,Loss,2,0,2,FALSE,2-0,6,FALSE
AFR1121,AFR,1,2021-07-21T21:46:32Z,RIck N,Win,1,1,0,FALSE,2-0,6,FALSE
AFR1121,AFR,1,2021-07-21T21:46:32Z,Brice C,Loss,4,2,2,FALSE,2-0,6,FALSE
AFR1122,AFR,1,2021-07-22T13:32:45Z,Richard K,Win,5,4,1,FALSE,2-1,6,FALSE
AFR1122,AFR,1,2021-07-22T13:32:45Z,Trevor H,Loss,4,0,4,FALSE,2-1,6,FALSE
AFR1123,AFR,1,2021-07-22T17:14:58Z,Wayne B,Win,5,2,3,FALSE,2-0,6,FALSE
AFR1123,AFR,1,2021-07-22T17:14:58Z,Duran V,Loss,2,0,2,FALSE,2-0,6,FALSE
AFR1124,AFR,1,2021-07-22T18:14:44Z,Lueder L,Win,5,3,2,FALSE,2-1,6,FALSE
AFR1124,AFR,1,2021-07-22T18:14:44Z,Trevor H,Loss,5,0,5,FALSE,2-1,6,FALSE
AFR1125,AFR,1,2021-07-22T18:18:42Z,Bill D,Win,2,2,0,FALSE,2-0,6,FALSE
AFR1125,AFR,1,2021-07-22T18:18:42Z,Brice C,Loss,5,2,3,FALSE,2-0,6,FALSE
AFR1126,AFR,1,2021-07-22T19:52:26Z,Cameron K,Win,2,1,1,FALSE,2-1,6,FALSE
AFR1126,AFR,1,2021-07-22T19:52:26Z,Ken M,Loss,5,2,3,FALSE,2-1,6,FALSE
AFR1127,AFR,1,2021-07-22T20:36:43Z,Bill D,Win,3,3,0,FALSE,2-0,6,FALSE
AFR1127,AFR,1,2021-07-22T20:36:43Z,Cameron K,Loss,3,1,2,FALSE,2-0,6,FALSE
AFR1128,AFR,1,2021-07-22T20:55:11Z,Nick L,Win,3,3,0,FALSE,2-0,6,FALSE
AFR1128,AFR,1,2021-07-22T20:55:11Z,Matthew S,Loss,3,1,2,FALSE,2-0,6,FALSE
AFR1129,AFR,1,2021-07-22T22:12:09Z,Duran V,Win,3,1,2,FALSE,2-0,6,FALSE
AFR1129,AFR,1,2021-07-22T22:12:09Z,Matthew S,Loss,4,1,3,FALSE,2-0,6,FALSE
AFR1130,AFR,1,2021-07-22T22:44:50Z,Will M,Win,4,4,0,FALSE,2-0,6,FALSE
AFR1130,AFR,1,2021-07-22T22:44:50Z,Duran V,Loss,4,1,3,FALSE,2-0,6,FALSE
AFR1131,AFR,1,2021-07-22T23:26:13Z,Raphael T,Win,1,1,0,FALSE,2-1,6,FALSE
AFR1131,AFR,1,2021-07-22T23:26:13Z,Bill D,Loss,4,3,1,FALSE,2-1,6,FALSE
AFR1132,AFR,1,2021-07-23T00:15:20Z,Raphael T,Win,2,2,0,FALSE,2-0,6,FALSE
AFR1132,AFR,1,2021-07-23T00:15:20Z,Sylvain T,Loss,5,2,3,FALSE,2-0,6,FALSE
AFR2001,AFR,2,2021-07-23T10:03:15Z,Angus M,Win,5,2,3,FALSE,2-1,6,FALSE
AFR2001,AFR,2,2021-07-23T10:03:15Z,Will M,Loss,5,4,1,FALSE,2-1,6,FALSE
AFR2002,AFR,2,2021-07-23T10:37:05Z,Erika P,Win,6,3,3,FALSE,2-1,6,FALSE
AFR2002,AFR,2,2021-07-23T10:37:05Z,Zeke W,Loss,6,4,2,FALSE,2-1,6,FALSE
AFR2003,AFR,2,2021-07-23T10:54:30Z,Pierre-Marc D,Win,6,3,3,FALSE,2-1,6,FALSE
AFR2003,AFR,2,2021-07-23T10:54:30Z,Angus M,Loss,6,2,4,FALSE,2-1,6,FALSE
AFR2004,AFR,2,2021-07-23T11:29:37Z,Erika P,Win,7,4,3,FALSE,2-1,6,FALSE
AFR2004,AFR,2,2021-07-23T11:29:37Z,Patrick M,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2005,AFR,2,2021-07-23T11:47:01Z,Patrick M,Win,7,4,3,FALSE,2-0,6,FALSE
AFR2005,AFR,2,2021-07-23T11:47:01Z,Jake B,Loss,6,3,3,FALSE,2-0,6,FALSE
AFR2006,AFR,2,2021-07-23T11:55:21Z,RIck N,Win,2,2,0,FALSE,2-1,6,FALSE
AFR2006,AFR,2,2021-07-23T11:55:21Z,Pierre-Marc D,Loss,7,3,4,FALSE,2-1,6,FALSE
AFR2007,AFR,2,2021-07-23T12:02:46Z,Gordon C,Win,6,2,4,FALSE,2-0,6,FALSE
AFR2007,AFR,2,2021-07-23T12:02:46Z,Trevor H,Loss,6,0,6,FALSE,2-0,6,FALSE
AFR2008,AFR,2,2021-07-23T12:10:18Z,Chris Y,Win,6,4,2,FALSE,2-1,6,FALSE
AFR2008,AFR,2,2021-07-23T12:10:18Z,Erika P,Loss,8,4,4,FALSE,2-1,6,FALSE
AFR2009,AFR,2,2021-07-23T12:30:17Z,Patrick M,Win,8,5,3,FALSE,2-1,6,FALSE
AFR2009,AFR,2,2021-07-23T12:30:17Z,Jeremy E,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2010,AFR,2,2021-07-23T13:09:38Z,Patrick M,Win,9,6,3,FALSE,2-1,6,FALSE
AFR2010,AFR,2,2021-07-23T13:09:38Z,Chris Y,Loss,7,4,3,FALSE,2-1,6,FALSE
AFR2011,AFR,2,2021-07-23T14:04:27Z,David S,Win,6,4,2,FALSE,2-0,6,FALSE
AFR2011,AFR,2,2021-07-23T14:04:27Z,Patrick M,Loss,10,6,4,FALSE,2-0,6,FALSE
AFR2012,AFR,2,2021-07-23T14:51:14Z,Ben A,Win,5,2,3,FALSE,2-1,6,FALSE
AFR2012,AFR,2,2021-07-23T14:51:14Z,Cody-Rayce MG,Loss,6,2,4,FALSE,2-1,6,FALSE
AFR2013,AFR,2,2021-07-23T15:01:03Z,Michael M,Win,6,3,3,FALSE,2-0,6,FALSE
AFR2013,AFR,2,2021-07-23T15:01:03Z,Richard K,Loss,6,4,2,FALSE,2-0,6,FALSE
AFR2014,AFR,2,2021-07-23T15:32:17Z,Ben A,Win,6,3,3,FALSE,2-0,6,FALSE
AFR2014,AFR,2,2021-07-23T15:32:17Z,Michael M,Loss,7,3,4,FALSE,2-0,6,FALSE
AFR2015,AFR,2,2021-07-23T16:17:59Z,Breckin B,Win,6,4,2,FALSE,2-1,6,FALSE
AFR2015,AFR,2,2021-07-23T16:17:59Z,Will M,Loss,6,4,2,FALSE,2-1,6,FALSE
AFR2016,AFR,2,2021-07-23T16:25:53Z,Gordon C,Win,7,3,4,FALSE,2-1,6,FALSE
AFR2016,AFR,2,2021-07-23T16:25:53Z,Michael M,Loss,8,3,5,FALSE,2-1,6,FALSE
AFR2017,AFR,2,2021-07-23T16:40:09Z,Derek G,Win,6,2,4,FALSE,2-1,6,FALSE
AFR2017,AFR,2,2021-07-23T16:40:09Z,Jeremy E,Loss,7,3,4,FALSE,2-1,6,FALSE
AFR2018,AFR,2,2021-07-23T17:07:59Z,Gordon C,Win,8,4,4,FALSE,2-1,6,FALSE
AFR2018,AFR,2,2021-07-23T17:07:59Z,Caleb G,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2019,AFR,2,2021-07-23T17:18:57Z,Nick L,Win,4,4,0,FALSE,2-1,6,FALSE
AFR2019,AFR,2,2021-07-23T17:18:57Z,Daniel M,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2020,AFR,2,2021-07-23T17:37:02Z,Breckin B,Win,7,5,2,FALSE,2-0,6,FALSE
AFR2020,AFR,2,2021-07-23T17:37:02Z,John P,Loss,6,2,4,FALSE,2-0,6,FALSE
AFR2021,AFR,2,2021-07-23T17:39:47Z,Caleb G,Win,7,4,3,FALSE,2-0,6,FALSE
AFR2021,AFR,2,2021-07-23T17:39:47Z,Derek G,Loss,7,2,5,FALSE,2-0,6,FALSE
AFR2022,AFR,2,2021-07-23T18:02:24Z,Gordon C,Win,9,5,4,FALSE,2-0,6,FALSE
AFR2022,AFR,2,2021-07-23T18:02:24Z,Derek G,Loss,8,2,6,FALSE,2-0,6,FALSE
AFR2023,AFR,2,2021-07-23T18:31:11Z,Damian S,Win,6,2,4,FALSE,2-0,6,FALSE
AFR2023,AFR,2,2021-07-23T18:31:11Z,Maxime R,Loss,6,5,1,FALSE,2-0,6,FALSE
AFR2024,AFR,2,2021-07-23T19:04:17Z,Maxime R,Win,7,6,1,FALSE,2-1,6,FALSE
AFR2024,AFR,2,2021-07-23T19:04:17Z,Justin P,Loss,6,3,3,FALSE,2-1,6,FALSE
AFR2025,AFR,2,2021-07-23T19:29:56Z,Maxime R,Win,8,7,1,FALSE,2-0,6,FALSE
AFR2025,AFR,2,2021-07-23T19:29:56Z,Zeke W,Loss,7,4,3,FALSE,2-0,6,FALSE
AFR2026,AFR,2,2021-07-23T20:16:15Z,Gordon C,Win,10,6,4,FALSE,2-1,6,FALSE
AFR2026,AFR,2,2021-07-23T20:16:15Z,Zeke W,Loss,8,4,4,FALSE,2-1,6,FALSE
AFR2027,AFR,2,2021-07-23T20:48:26Z,Pierre-Marc D,Win,8,4,4,FALSE,2-1,6,FALSE
AFR2027,AFR,2,2021-07-23T20:48:26Z,Derek G,Loss,9,2,7,TRUE,2-1,6,FALSE
AFR2028,AFR,2,2021-07-23T21:26:27Z,Breckin B,Win,8,6,2,FALSE,2-1,6,FALSE
AFR2028,AFR,2,2021-07-23T21:26:27Z,Damian S,Loss,7,2,5,FALSE,2-1,6,FALSE
AFR2029,AFR,2,2021-07-23T22:05:43Z,Maxime R,Win,9,8,1,FALSE,2-0,6,FALSE
AFR2029,AFR,2,2021-07-23T22:05:43Z,Breckin B,Loss,9,6,3,FALSE,2-0,6,FALSE
AFR2030,AFR,2,2021-07-23T22:16:18Z,John P,Win,7,3,4,FALSE,2-0,6,FALSE
AFR2030,AFR,2,2021-07-23T22:16:18Z,Daniel M,Loss,7,3,4,FALSE,2-0,6,FALSE
AFR2031,AFR,2,2021-07-23T22:40:45Z,Maxime R,Win,10,9,1,FALSE,2-0,6,FALSE
AFR2031,AFR,2,2021-07-23T22:40:45Z,Caleb G,Loss,8,4,4,FALSE,2-0,6,FALSE
AFR2032,AFR,2,2021-07-23T23:19:47Z,Pierre-Marc D,Win,9,5,4,FALSE,2-0,6,FALSE
AFR2032,AFR,2,2021-07-23T23:19:47Z,John P,Loss,8,3,5,FALSE,2-0,6,FALSE
AFR2033,AFR,2,2021-07-24T00:21:05Z,Daniel M,Win,8,4,4,FALSE,2-1,6,FALSE
AFR2033,AFR,2,2021-07-24T00:21:05Z,Jeremy E,Loss,8,3,5,FALSE,2-1,6,FALSE
AFR2034,AFR,2,2021-07-24T00:33:59Z,Breckin B,Win,10,7,3,FALSE,2-0,6,FALSE
AFR2034,AFR,2,2021-07-24T00:33:59Z,Erika P,Loss,9,4,5,FALSE,2-0,6,FALSE
