Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
6/27/2023 23:36:27,Dan A - BEATDOWNBRINGA#04779,Doug D - dougnukem#51899,2-0,,1,,,,,,
6/28/2023 1:30:16,Mitchel S - SpaghettiMitch#18619,Wei C - Azayaka#83352,2-1,,1,,,,,,
6/28/2023 11:22:20,Tony G - YnotRock#76764,John R - Ged#72302,2-0,,1,,,,,,
6/28/2023 12:33:14,Tony G - YnotRock#76764,Johnny M - Johnny#69519,2-1,,1,,,,,,
6/28/2023 13:00:21,Tony G - YnotRock#76764,Sean Sp - Talrand#06333,2-0,,1,,,,,,
6/28/2023 13:55:55,Jordan M - JMTron#46639,Tony G - YnotRock#76764,2-0,,1,,,,,,
6/28/2023 16:11:14,John R - Ged#72302,Sean Sp - Talrand#06333,2-0,,1,ggs,,,,,
6/28/2023 21:10:11,Chris R - Sinkwater#27508,Ryan D - TheSlickness#10857,2-0,,1,,,,,,
6/28/2023 22:11:58,Chris R - Sinkwater#27508,Deven W - deven#51146,2-1,,1,,,,,,
6/28/2023 22:34:17,Grey H - grensley#29260,Nicholas K - Bionick#55161,2-0,,1,,,,,,
6/28/2023 22:47:22,Michael M - Atombomb11991#07305,Tony G - YnotRock#76764,2-0,,1,,,,,,
6/28/2023 23:57:17,Wei C - Azayaka#83352,Grey H - grensley#29260,2-0,,1,,,,,,
6/29/2023 0:22:42,Wei C - Azayaka#83352,Doug D - dougnukem#51899,2-0,,1,,,,,,
6/29/2023 14:03:37,Wei C - Azayaka#83352,Doug Co - daceris#24713,2-0,,1,,,,,,
6/29/2023 14:54:02,Blake R - Trogdorr#20061,Wei C - Azayaka#83352,2-1,,1,,,,,,
6/29/2023 16:54:09,Blake R - Trogdorr#20061,Doug Co - daceris#24713,2-1,,1,,,,,,
6/29/2023 19:05:58,Doug Co - daceris#24713,Chris R - Sinkwater#27508,2-0,,1,,,,,,
6/29/2023 19:20:45,Bill D - Cato Phoenix#70805,Ryan D - TheSlickness#10857,2-1,,1,,,,,,
6/29/2023 19:25:12,Joe T - elasticity#07466,Doug Co - daceris#24713,2-0,,1,,,,,,
6/29/2023 19:47:39,Joe T - elasticity#07466,Serge T - Sergyboy514#39979,2-0,,1,,,,,,
6/29/2023 19:58:12,Bill D - Cato Phoenix#70805,Chris R - Sinkwater#27508,2-1,,1,,,,,,
6/29/2023 21:04:40,Bill D - Cato Phoenix#70805,Michael M - Atombomb11991#07305,2-1,,1,,,,,,
6/29/2023 21:41:12,Sean Sp - Talrand#06333,Nicholas K - Bionick#55161,2-0,,1,,,,,,
6/29/2023 22:08:30,Sean Sp - Talrand#06333,Grey H - grensley#29260,2-0,,1,,,,,,
6/29/2023 22:20:32,Jaidin M - MnemonicDevice#38774,Dan K - Fizishy#82483,2-0,,1,Bill Bill Bill,,,,,
6/29/2023 22:41:30,Chris R - Sinkwater#27508,Christopher G - oompaloompa#65002,2-1,,1,,,,,,
6/29/2023 23:02:10,Dan K - Fizishy#82483,Michael M - Atombomb11991#07305,2-0,,1,,,,,,
6/29/2023 23:49:12,Zeke W - smarmyplatapus#30066,Chris P - Joker01#66827,2-1,,1,gg!,,,,,
6/30/2023 10:50:01,Bill D - Cato Phoenix#70805,Jaidin M - MnemonicDevice#38774,2-1,,1,,,,,,
6/30/2023 11:40:47,Lotte P - Lotte #93345,Dustin D - Bloone#16018,2-1,,1,,,,,,
6/30/2023 12:20:03,Jack H - Rakic#98298,Dustin D - Bloone#16018,2-1,,1,,,,,,
6/30/2023 12:31:56,Lotte P - Lotte #93345,Jaidin M - MnemonicDevice#38774,2-1,,1,,,,,,
6/30/2023 13:36:53,Dan K - Fizishy#82483,Dustin D - Bloone#16018,2-0,,1,,,,,,
6/30/2023 15:04:33,Paul G - TheDragon#61289,Dustin D - Bloone#16018,2-0,,1,,,,,,
6/30/2023 17:41:55,Paul G - TheDragon#61289,Caleb G - Whynaut#28590,2-0,,1,,,,,,
6/30/2023 18:09:09,Damian S - ButCrackMagic#71223,Caleb G - Whynaut#28590,2-1,,1,BIRDS AND SWORDS,,,,,
6/30/2023 18:39:03,Philip B - Plipster#75000,Wyatt C - hotdolphin#30769,2-1,,1,,,,,,
6/30/2023 18:47:42,Damian S - ButCrackMagic#71223,Dan K - Fizishy#82483,2-0,,1,,,,,,
