Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
1/11/2023 23:02:22,Andrew H - hopnertz#98617,Mike B - Xenomorph#62228,2-1,,1,GGs - Really tight,,
1/12/2023 13:19:46,Duran V - SuperD#94636,Christopher G - oompaloompa#65002,2-1,,1,,,
1/12/2023 14:08:02,Duran V - SuperD#94636,Mike B - Xenomorph#62228,2-1,,1,,,
1/12/2023 17:28:06,Christopher G - oompaloompa#65002,Warren M - LinkThePlaneswalker33#61905,2-1,,1,,,
1/12/2023 19:10:16,Jaidin M - MnemonicDevice#38774,Christopher G - oompaloompa#65002,2-0,,1,,,
1/12/2023 20:18:14,Paul S - YungChunk#45977,Mike B - Xenomorph#62228,2-0,,1,,,
1/12/2023 20:46:49,Duran V - SuperD#94636,Richard K - preacher26#59445,2-0,,1,,,
1/12/2023 23:51:40,Zeke W - smarmyplatapus#30066,Shane K - Malfunktion#31013,2-0,,1,,,
1/13/2023 0:22:31,Christopher G - oompaloompa#65002,Stephan J - Saeijou#27763,2-1,,1,,,
1/13/2023 12:51:14,Stephan J - Saeijou#27763,Duran V - SuperD#94636,2-1,,1,,,
1/13/2023 13:16:40,Shane K - Malfunktion#31013,Stephan J - Saeijou#27763,2-1,,1,,,
1/13/2023 17:29:28,Dan A - BEATDOWNBRINGA#04779,Paul G - TheDragon#61289,2-0,,1,,,
1/13/2023 17:33:03,Jesse R - Zephaer#38941,Caleb G - Whynaut#28590,2-0,,1,B,,
1/13/2023 17:33:58,Zach C - ZachCarr#31881,Damian S - ButCrackMagic#71223,2-0,,1,,,
1/13/2023 17:38:51,John P - gokuorgohome#51511,Hugo D - HDila#61011,2-1,,1,,,
1/13/2023 17:51:42,Steve T - strout#45062,Paul G - TheDragon#61289,2-0,,1,,,
1/13/2023 17:54:00,Rafael F - Prudent#24319,Shane K - Malfunktion#31013,2-0,,1,,,
1/13/2023 17:57:42,Maranda L - BlackCanary#59791,Emmett F - Sepulchure#51526,2-0,,1,,,
1/13/2023 18:03:55,Damian S - ButCrackMagic#71223,Hugo D - HDila#61011,2-0,,1,,,
