Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
6/10/2023 19:15:41,Daniel G - FriskyHobbit#43185,Deven W - Deven#51146,2-1,,1,,,,
6/10/2023 19:43:34,Daniel G - FriskyHobbit#43185,Sasson B - pcd2108#62046,2-0,,1,,,,
6/10/2023 20:20:45,Deven W - Deven#51146,Sasson B - pcd2108#62046,2-1,,1,,,,
6/10/2023 21:31:21,Caleb G - Whynaut#28590,Colton S - coltoncooper#56958,2-1,,1,,,,
6/10/2023 22:16:20,Reed P - bigfingsnake#86869,Pedro D - Goombassa#17203,2-0,,1,,,,
6/10/2023 23:46:18,Daniel G - FriskyHobbit#43185,Jordan M - JMTron#46639,2-0,,1,,,,
6/11/2023 0:49:45,Nathan W - Topographology#26363,Philip B - Plipster#75000,2-0,,1,,,,
6/11/2023 13:34:13,John R - Ged#72302,Deven W - Deven#51146,2-0,,1,ggs,,,
6/11/2023 14:35:20,Johnny M - Johnny#69519,Deven W - Deven#51146,2-0,,1,,,,
6/11/2023 15:19:57,Paul G - TheDragon#61289,John R - Ged#72302,2-0,,1,,,,
6/11/2023 15:37:25,John P - gokuorgohome#51511,Johnny M - Johnny#69519,2-0,,1,,,,
6/11/2023 15:51:06,Trevor F - treskies#75643,Adam S - wizma#29010,2-0,,1,,,,
6/11/2023 17:23:33,Trevor F - treskies#75643,Cody D - Ellimist#31769,2-0,,1,,,,
6/11/2023 18:17:40,Daniel G - FriskyHobbit#43185,John P - gokuorgohome#51511,2-1,,1,,,,
6/11/2023 18:20:11,John R - Ged#72302,Cody D - Ellimist#31769,2-1,,1,ggs,,,
6/11/2023 20:24:52,Bob P - Hit#08120,Daniel G - FriskyHobbit#43185,2-1,,1,,,,
6/11/2023 21:35:14,Bob P - Hit#08120,Michael M - Atombomb11991#07305,2-0,,1,,,,
6/11/2023 21:37:59,Sawyer T - soyboy#35469,Johnny M - Johnny#69519,2-1,,1,,,,
6/11/2023 23:47:55,Nathan W - Topographology#26363,Bob P - Hit#08120,2-1,,1,,,,
6/12/2023 0:44:29,Jordan M - JMTron#46639,Blake R - Trogdorr#20061,2-1,,1,,,,
6/12/2023 12:42:34,Philip B - Plipster#75000,Cody-Rayce MG - Rayce#56572,2-1,,1,,,,
6/12/2023 14:32:49,Philip B - Plipster#75000,Cody D - Ellimist#31769,2-1,,1,,,,
6/12/2023 15:45:30,Paul G - TheDragon#61289,Wyatt C - hotdolphin#30769,2-1,,1,,,,
6/12/2023 15:58:27,Noah B - Sisco#71800,Jeremy E - Lhurgoyf#37289,2-1,,1,,,,
6/12/2023 16:51:04,Reed P - bigfingsnake#86869,Eric S - Smitte#94855,2-0,,1,,,,
6/12/2023 16:52:07,Dan A - BEATDOWNBRINGA#04779,Tim S - Tim Throw#47106,2-1,,1,,,,
6/12/2023 16:54:32,Wesley L - weslars#49889,Jake C - the_man_mulcahey#74753,2-0,,1,,,,
6/12/2023 17:23:36,Dan A - BEATDOWNBRINGA#04779,Caleb G - Whynaut#28590,2-0,,1,,,,
6/12/2023 17:28:04,Chris P - Joker01#66827,Emmett F - Sepulchure#51526,2-0,,1,,,,
6/12/2023 17:33:57,Colton S - coltoncooper#56958,Tim S - Tim Throw#47106,2-0,,1,,,,
6/12/2023 17:44:46,Wesley L - weslars#49889,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,
6/12/2023 18:23:36,Eric S - Smitte#94855,Chris P - Joker01#66827,2-0,,1,,,,
6/12/2023 18:42:27,John P - gokuorgohome#51511,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,,
6/12/2023 18:50:45,Reed P - bigfingsnake#86869,Philip B - Plipster#75000,2-1,,1,,,,
6/12/2023 19:08:00,Joaquin E - DiabolicMachine#23891,Connor H - Clhis#08294,2-1,,1,,,,
6/12/2023 20:00:16,Wesley L - weslars#49889,Connor H - Clhis#08294,2-1,,1,,,,
6/12/2023 20:42:33,Wesley L - weslars#49889,Blake R - Trogdorr#20061,2-1,,1,,,,
6/12/2023 20:48:48,Tim S - Tim Throw#47106,Cody-Rayce MG - Rayce#56572,2-1,,1,,,,
6/12/2023 21:08:21,John P - gokuorgohome#51511,Joaquin E - DiabolicMachine#23891,2-1,,1,,,,
6/12/2023 21:38:20,Tim S - Tim Throw#47106,John P - gokuorgohome#51511,2-0,,1,,,,
6/12/2023 21:59:04,Colton S - coltoncooper#56958,Cody-Rayce MG - Rayce#56572,2-0,,1,,,,
6/12/2023 22:46:46,Mitchel S - SpaghettiMitch#18619,Ryan D - TheSlickness#10857,2-1,,1,,,,
6/12/2023 23:13:32,Nathan W - Topographology#26363,Eric S - Smitte#94855,2-0,,1,,,,
6/12/2023 23:23:25,Mitchel S - SpaghettiMitch#18619,Drake M - KoMODO#43282,2-1,,1,,,,
6/12/2023 23:30:25,Steve T - strout#45062,Chris Y - Yorke on Games#66909,2-0,,1,,,,
6/13/2023 0:10:28,Noah B - Sisco#71800,Jordan M - JMTron#46639,2-0,,1,,,,
6/13/2023 0:16:22,Zeke W - smarmyplatapus#30066,Drake M - KoMODO#43282,2-1,,1,ggs!,,,
6/13/2023 0:26:56,Bob P - Hit#08120,Ryan D - TheSlickness#10857,2-1,,1,,,,
6/13/2023 0:53:05,Wesley L - weslars#49889,Nathan W - Topographology#26363,2-0,,1,,,,
6/13/2023 0:53:46,Steve T - strout#45062,Noah B - Sisco#71800,2-0,,1,mana :(,,,
6/13/2023 11:15:09,Colton S - coltoncooper#56958,John R - Ged#72302,2-0,,1,,,,
6/13/2023 13:48:18,Justin P - Code Pigeon#84057,Eric S - Smitte#94855,2-0,,1,,,,
6/13/2023 14:34:07,Justin P - Code Pigeon#84057,Tony G - YnotRock#76764,2-1,,1,,,,
6/13/2023 16:29:33,Eric S - Smitte#94855,Blake R - Trogdorr#20061,2-1,,1,,,,
6/13/2023 17:01:06,John R - Ged#72302,Caleb G - Whynaut#28590,2-1,,1,ggs,,,
6/13/2023 18:03:12,Reed P - bigfingsnake#86869,John R - Ged#72302,2-1,,1,,,,
6/13/2023 18:17:14,Wyatt C - hotdolphin#30769,Chris R - Sinkwater#27508,2-0,,1,,,,
6/13/2023 18:57:49,Colton S - coltoncooper#56958,Caleb G - Whynaut#28590,2-1,,1,,,,
6/13/2023 19:16:57,Chris R - Sinkwater#27508,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,,
6/13/2023 19:20:47,Maranda L - blackcanary#59791,Chris P - Joker01#66827,2-1,,1,,,,
6/13/2023 20:33:35,Trevor F - treskies#75643,Bob P - Hit#08120,2-0,,1,,,,
6/13/2023 20:34:03,Nik S - njsiii#50504,Blake R - Trogdorr#20061,2-0,,1,,,,
6/13/2023 21:07:41,Chris R - Sinkwater#27508,Trevor F - treskies#75643,2-0,,1,,,,
6/13/2023 21:35:04,Chris R - Sinkwater#27508,Nik S - njsiii#50504,2-0,,1,,,,
6/13/2023 21:48:10,Steve T - strout#45062,James S - TortillaThePun#11942,2-1,,1,GGs!,,,
6/13/2023 22:20:33,Chris R - Sinkwater#27508,Damian S - ButCrackMagic#71223,2-0,,1,,,,
6/13/2023 22:30:02,Zeke W - smarmyplatapus#30066,Nik S - njsiii#50504,2-1,,1,,,,
6/13/2023 22:37:26,Johnny M - Johnny#69519,James S - TortillaThePun#11942,2-1,,1,,,,
6/13/2023 22:41:20,Maxime R - Tasigurr#89921,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,,
6/13/2023 22:52:08,Justin P - Code Pigeon#84057,Noah B - Sisco#71800,2-1,,1,,,,
6/13/2023 23:10:21,Steve T - strout#45062,Johnny M - Johnny#69519,2-1,,1,GGs!,,,
6/13/2023 23:42:56,Damian S - ButCrackMagic#71223,Dustin D - Bloone#16018,2-0,,1,,,,
6/13/2023 23:55:10,Justin P - Code Pigeon#84057,Mitchel S - SpaghettiMitch#18619,2-1,,1,,,,
6/14/2023 0:05:15,Maxime R - Tasigurr#89921,Zeke W - smarmyplatapus#30066,2-0,,1,,,,
6/14/2023 0:44:02,Pedro D - Goombassa#17203,Maxime R - Tasigurr#89921,2-1,,1,GGs,,,
6/14/2023 2:24:36,Sawyer T - soyboy#35469,Pedro D - Goombassa#17203,2-1,,1,,,,
6/14/2023 8:31:58,Lee B - MagicMorningBrew#76946,Paul G - TheDragon#61289,2-0,,1,,,,
6/14/2023 10:49:14,Jeremy E - Lhurgoyf#37289,Lee B - MagicMorningBrew#76946,2-1,,1,,,,
6/14/2023 14:15:53,Sawyer T - soyboy#35469,Justin P - Code Pigeon#84057,2-1,,1,,,,
6/14/2023 14:28:20,Darwin K - darwhims#52188,Jordan M - JMTron#46639,2-0,,1,,,,
6/14/2023 14:53:44,Justin P - Code Pigeon#84057,Pedro D - Goombassa#17203,2-1,,1,,,,
6/14/2023 15:26:22,Justin P - Code Pigeon#84057,Chris P - Joker01#66827,2-0,,1,,,,
6/14/2023 15:54:11,Wyatt C - hotdolphin#30769,Richard K - preacher26#59445,2-0,,1,,,,
