Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,,Punishment Pack choice?
4/7/2023 17:52:46,Doug Co - daceris#24713,Lotte P - Lotte #93345,2-1,,1,ggs!,,
4/7/2023 18:26:19,Nik S - njsiii#50504,Lotte P - Lotte #93345,2-0,,1,,,
4/7/2023 18:42:09,Richard K - preacher26#59445,Maxime R - Tasigurr#89921,2-0,,1,,,
4/7/2023 19:28:12,Damian S - ButCrackMagic#71223,Eric S - Smitte#94855,2-1,,1,,,
4/7/2023 19:55:10,Kevin I - kni1993#29285,Michael M - Atombomb11991#07305,2-1,,1,Ggs,,
4/7/2023 20:15:52,Maxime R - Tasigurr#89921,Phillip M - Fat_kitty#63794,2-1,,1,,,
4/7/2023 20:20:49,Caleb G - Whynaut#28590,Kevin I - kni1993#29285,2-0,,1,,,
4/7/2023 20:46:16,Caleb G - Whynaut#28590,Will K - Goombill#60657,2-0,,1,,,
4/7/2023 21:09:24,Phillip M - Fat_kitty#63794,Troy R - Pengwin#05127,2-0,,1,,,
4/7/2023 21:45:09,Troy R - Pengwin#05127,Maxime R - Tasigurr#89921,2-0,,1,,,
4/7/2023 22:20:43,Caleb G - Whynaut#28590,Eric S - Smitte#94855,2-0,,1,,,
4/8/2023 0:34:51,Evan C - PeasOfCrab#00133,Damian S - ButCrackMagic#71223,2-0,,1,,,
4/8/2023 1:48:48,Maxime R - Tasigurr#89921,Sawyer T - soyboy#35469,2-1,,1,,,
4/8/2023 8:07:48,Paul G - TheDragon#61289,Nik S - njsiii#50504,2-0,,1,,,
4/8/2023 9:32:08,John R - Ged#72302,Kevin I - kni1993#29285,2-0,,1,ggs,,
4/8/2023 12:09:07,Chris Y - Yorke on Games#66909,Kevin I - kni1993#29285,2-1,,1,There will be a Human in this pack!,,
4/8/2023 13:13:47,Rafael F - Prudent#24319,Cody-Rayce MG - rayce#56572,2-1,,1,,,
4/8/2023 14:53:25,Caleb G - Whynaut#28590,Rafael F - Prudent#24319,2-0,,1,,,
4/8/2023 15:21:26,Richard K - preacher26#59445,Sawyer T - soyboy#35469,2-1,,1,,,
4/8/2023 16:56:31,John P - gokuorgohome#51511,Paul G - TheDragon#61289,2-1,,1,,,
4/8/2023 16:56:47,Jaidin M - MnemonicDevice#38774,Adam S - wizma#29010,2-1,,1,I love permeating mass,,
4/8/2023 17:31:38,Paul G - TheDragon#61289,Damian S - ButCrackMagic#71223,2-0,,1,,,
4/8/2023 18:02:36,Phillip M - Fat_kitty#63794,John P - gokuorgohome#51511,2-1,,1,,,
4/8/2023 18:18:24,Paul G - TheDragon#61289,Curtis K - Oblivion#40925,2-0,,1,,,
4/8/2023 19:00:43,Curtis K - Oblivion#40925,John P - gokuorgohome#51511,2-0,,1,,,
4/8/2023 19:01:15,Damian S - ButCrackMagic#71223,Kevin I - kni1993#29285,2-0,,1,,,
4/8/2023 20:00:18,Maxime R - Tasigurr#89921,Curtis K - Oblivion#40925,2-0,,1,,,
4/8/2023 20:09:29,Deseo C - StandoPow3r#13414,Steve T - strout#45062,2-1,,1,,,
4/8/2023 20:56:46,Mitchel S - SpaghettiMitch#18619,Steve T - strout#45062,2-0,,1,,,
4/8/2023 22:05:21,Deseo C - StandoPow3r#13414,Ron C - Lennor#52740,2-1,,1,,,
4/8/2023 23:02:53,Ryan D - TheSlickness#10857,Deseo C - StandoPow3r#13414,2-1,,1,,,
4/8/2023 23:18:23,Sylvain T - Iquitos#15484,Doug Co - daceris#24713,2-0,,1,,,
4/8/2023 23:24:09,Steve T - strout#45062,Nik S - njsiii#50504,2-1,,1,GGs,,
4/8/2023 23:54:19,Justin P - Code Pigeon#84057,Ryan D - TheSlickness#10857,2-0,,1,,,
4/9/2023 0:11:19,Steve T - strout#45062,Sylvain T - Iquitos#15484,2-0,,1,,,
4/9/2023 11:37:56,Phillip M - Fat_kitty#63794,John R - Ged#72302,2-0,,1,,,
4/9/2023 11:53:39,Ivan F - Draivanhoe#31021,Adam S - wizma#29010,2-0,,1,,,
4/9/2023 12:37:42,Adam S - wizma#29010,John R - Ged#72302,2-1,,1,Good League! See you in MOM,,
4/9/2023 13:06:27,Richard K - preacher26#59445,Ivan F - Draivanhoe#31021,2-0,,1,,,
4/9/2023 14:38:29,Lotte P - Lotte #93345,Chris Y - Yorke on Games#66909,2-1,,1,,,
4/9/2023 15:22:49,Shuo L - Tamamo#30654,Lotte P - Lotte #93345,2-1,,1,,,
4/9/2023 15:45:26,Serge T - Sergyboy514#39979,Shuo L - Tamamo#30654,2-1,,1,,,
4/9/2023 16:12:45,Lotte P - Lotte #93345,Chris R - Sinkwater#27508,2-1,,1,,,
4/9/2023 16:13:23,Paul G - TheDragon#61289,Serge T - Sergyboy514#39979,2-0,,1,,,
4/9/2023 16:48:35,Shuo L - Tamamo#30654,John P - gokuorgohome#51511,2-1,,1,,,
4/9/2023 17:05:23,Chris R - Sinkwater#27508,Doug Co - daceris#24713,2-0,,1,,,
4/9/2023 20:03:34,Deseo C - StandoPow3r#13414,Sawyer T - soyboy#35469,2-1,,1,,,
4/9/2023 22:45:49,Johnny M - Johnny#69519,Steve T - strout#45062,2-1,,1,,,
4/9/2023 23:16:10,Evan C - PeasOfCrab#00133,Johnny M - Johnny#69519,2-0,,1,,,
4/9/2023 23:41:05,Chris Y - Yorke on Games#66909,Noah B - Sisco#71800,2-1,,1,EMERGE,,
4/9/2023 23:47:24,Deseo C - StandoPow3r#13414,Dan K - Fizishy#82483,2-0,,1,,,
4/10/2023 0:13:13,Johnny M - Johnny#69519,Mitchel S - SpaghettiMitch#18619,2-0,,1,,,
4/10/2023 0:17:28,Dan K - Fizishy#82483,Justin P - Code Pigeon#84057,2-0,,1,,,
4/10/2023 0:39:47,Caleb G - Whynaut#28590,Dan K - Fizishy#82483,2-0,,1,,,
4/10/2023 11:38:32,Johnny M - Johnny#69519,Eric S - Smitte#94855,2-0,,1,,,
4/10/2023 14:51:23,Jordan M - JMTron#46639,Zeke W - smarmyplatapus#30066,2-1,,1,,,
4/10/2023 14:55:52,Phillip M - Fat_kitty#63794,Evan C - PeasOfCrab#00133,2-0,,1,,,
4/10/2023 15:13:38,Jake C - The_man_mulcahey#74753,Troy R - Pengwin#05127,2-0,,1,,,
4/10/2023 15:21:18,Serge T - Sergyboy514#39979,Zeke W - smarmyplatapus#30066,2-0,,1,,,
4/10/2023 19:11:58,Justin P - Code Pigeon#84057,Doug Co - daceris#24713,2-1,,1,,,
4/10/2023 19:23:10,Shane K - malfunktion#31013,Chris Y - Yorke on Games#66909,2-0,,1,,,
4/10/2023 19:36:54,Justin P - Code Pigeon#84057,Michael M - Atombomb11991#07305,2-1,,1,,,
4/10/2023 20:22:49,Nik S - njsiii#50504,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
4/10/2023 20:29:34,Shane K - malfunktion#31013,Phillip M - Fat_kitty#63794,2-1,,1,,,
4/10/2023 21:42:45,Justin P - Code Pigeon#84057,Chris Y - Yorke on Games#66909,2-0,,1,,,
4/10/2023 22:50:35,Nik S - njsiii#50504,Chris P - Joker01#66827,2-0,,1,,,
4/10/2023 23:54:44,Chris P - Joker01#66827,Sylvain T - Iquitos#15484,2-0,,1,,,
4/11/2023 14:10:26,Jordan M - JMTron#46639,Jake C - The_man_mulcahey#74753,2-0,,1,,,
4/11/2023 14:45:29,Daniel G - FriskyHobbit#43185,Josh G - MrDoops#24495,2-1,,1,,,
4/11/2023 15:06:09,Daniel G - FriskyHobbit#43185,Shane K - malfunktion#31013,2-0,,1,,,
4/11/2023 16:45:59,Chris R - Sinkwater#27508,Jordan M - JMTron#46639,2-0,,1,,,
4/11/2023 17:02:15,Cody-Rayce MG - rayce#56572,Noah B - Sisco#71800,2-0,,1,ggs,,
4/11/2023 18:02:02,Doug Co - daceris#24713,Maranda L - BlackCanary#59791,2-0,,1,,,
4/11/2023 18:25:37,Cody-Rayce MG - rayce#56572,Chris P - Joker01#66827,2-0,,1,ggs wp,,
4/11/2023 18:44:00,Jaidin M - MnemonicDevice#38774,Emmett F - Sepulchure#51526,2-0,,1,,,
4/11/2023 19:28:04,Michael M - Atombomb11991#07305,Cody-Rayce MG - rayce#56572,2-1,,1,,,
4/11/2023 19:34:26,Maranda L - BlackCanary#59791,Jaidin M - MnemonicDevice#38774,2-1,,1,,,
4/11/2023 19:42:22,Dan A - BEATDOWNBRINGA#04779,Will K - Goombill#60657,2-0,,1,,,
4/11/2023 20:13:24,Michael M - Atombomb11991#07305,Chris P - Joker01#66827,2-1,,1,,,
4/11/2023 20:20:37,Christopher G - oompaloompa#65002,Dan A - BEATDOWNBRINGA#04779,2-0,,1,,,
4/11/2023 21:04:45,Trevor F - treskies#75643,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,
4/11/2023 21:22:15,Michael M - Atombomb11991#07305,Chris R - Sinkwater#27508,2-1,,1,,,
4/11/2023 21:59:47,Christopher G - oompaloompa#65002,Zeke W - smarmyplatapus#30066,2-1,,1,,,
4/11/2023 22:17:07,Emmett F - Sepulchure#51526,Noah B - Sisco#71800,2-0,,1,,,
4/11/2023 22:26:20,Trevor F - treskies#75643,Ryan D - TheSlickness#10857,2-1,,1,,,
4/11/2023 22:30:17,Zeke W - smarmyplatapus#30066,Cody-Rayce MG - rayce#56572,2-1,,1,,,
4/11/2023 22:45:28,Dan A - BEATDOWNBRINGA#04779,Sylvain T - Iquitos#15484,2-1,,1,,,
4/12/2023 0:16:09,Jordan M - JMTron#46639,Ron C - Lennor#52740,2-0,,1,,,
4/12/2023 16:00:28,Mitchel S - SpaghettiMitch#18619,Zeke W - smarmyplatapus#30066,2-0,,1,,,
4/12/2023 16:50:55,Richard K - preacher26#59445,Anthony S - Kingboars#88381,2-1,,1,,,
4/12/2023 17:37:01,Anthony S - Kingboars#88381,Chris R - Sinkwater#27508,2-1,,1,,,
4/12/2023 20:32:21,Dan K - Fizishy#82483,Christopher G - oompaloompa#65002,2-0,,1,,,
4/12/2023 21:45:46,Evan C - PeasOfCrab#00133,Trevor F - treskies#75643,2-0,,1,,,
4/12/2023 21:53:58,Jordan M - JMTron#46639,Dan K - Fizishy#82483,2-1,,1,,,
4/12/2023 23:08:42,Johnny M - Johnny#69519,Ryan D - TheSlickness#10857,2-1,,1,,,
4/12/2023 23:27:23,Mitchel S - SpaghettiMitch#18619,Shuo L - Tamamo#30654,2-1,,1,,,
4/13/2023 0:15:57,Shuo L - Tamamo#30654,Ryan D - TheSlickness#10857,2-1,,1,,,
4/13/2023 14:11:20,Adam S - wizma#29010,Daniel M - HPWizard#40332,2-1,,1,Good games,,
