Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Punishment Pack choice?
4/22/2023 20:31:05,Bob P - HIT#08120,Aus Z - ImperialPlaneswalker#40420,2-1,,1,,MOM,,
4/22/2023 21:08:28,Aus Z - ImperialPlaneswalker#40420,Noah B - Sisco#71800,2-0,,1,,MOM,,
4/22/2023 21:14:58,Reed P - bigfingsnake#86869,Adam S - wizma#29010,2-1,,1,,MOM,,
4/22/2023 22:48:06,Joe T - elasticity#07466,Rafael F - Prudent#24319,2-1,,1,,MOM,,
4/23/2023 1:39:22,Shuo L - Tamamo#30654,Warren M - LinkThePlaneswalker33#61905,2-0,,1,,MOM,,
4/23/2023 9:36:15,Ryland B - Sabre#12079,Lotte P - Lotte #93345,2-0,,1,,MOM,,
4/23/2023 12:41:01,Pierre-Marc D - pmduguay#67919,Mike P - UnwieldyBiscuit#26471,2-1,,1,,WAR,,
4/23/2023 12:57:42,Pierre-Marc D - pmduguay#67919,Brendan Y - Earthmover#56028,2-0,,1,,WAR,,
4/23/2023 13:55:46,Pierre-Marc D - pmduguay#67919,Ron C - lennor#52740,2-1,,1,,MOM,,
4/23/2023 14:14:42,Jake C - the_man_mulcahey#74753,Johnny M - Johnny#69519,2-0,,1,,MOM,,
4/23/2023 14:29:40,Pierre-Marc D - pmduguay#67919,Michael M - Atombomb11991#07305,2-1,,1,,WAR,,
4/23/2023 14:41:31,Ryland B - Sabre#12079,Dan K - Fizishy#82483,2-0,,1,,IKO,,
4/23/2023 15:31:40,Michael M - Atombomb11991#07305,Dan K - Fizishy#82483,2-0,,1,,IKO,,
4/23/2023 16:28:31,Mitchel S - SpaghettiMitch#18619,Michael M - Atombomb11991#07305,2-0,,1,,WAR,,
4/23/2023 17:36:17,Ryan D - TheSlickness#10857,Dan K - Fizishy#82483,2-1,,1,,IKO,,
4/23/2023 17:49:48,Chris O - TheAlphabet#27489,Shuo L - Tamamo#30654,2-1,,1,,WAR,,
4/23/2023 18:06:52,Jaidin M - MnemonicDevice#38774,Chris O - TheAlphabet#27489,2-0,,1,,WAR,,
4/23/2023 18:17:33,Dan K - Fizishy#82483,Shuo L - Tamamo#30654,2-0,,1,,WAR,,
4/23/2023 18:18:58,Thaddeus G - uncapitalized#64977,Ryan D - TheSlickness#10857,2-0,,1,,MOM,,
4/23/2023 18:45:05,Lotte P - Lotte #93345,Ron C - lennor#52740,2-1,,1,,MOM,,
4/23/2023 19:02:44,Jordan M - JMTron#46639,Jaidin M - MnemonicDevice#38774,2-1,,1,,MOM,,
4/23/2023 19:41:19,JP G - jaypiex#97612,Ron C - lennor#52740,2-0,,1,,MOM,,
4/23/2023 20:52:03,Jake C - the_man_mulcahey#74753,Brian H - havzy#28494,2-1,,1,,RNA,,
4/23/2023 20:57:01,John R - Ged#72302,Jaidin M - MnemonicDevice#38774,2-0,,1,ggs,MOM,,
4/23/2023 21:37:12,Maranda L - BlackCanary#59791,David R - Roooster#49289,2-0,,1,,MOM,,
4/23/2023 21:56:37,Brian H - havzy#28494,Maranda L - BlackCanary#59791,2-0,,1,,MOM,,
4/23/2023 22:24:25,Pierre-Marc D - pmduguay#67919,Brian H - havzy#28494,2-0,,1,,RNA,,
4/23/2023 23:05:01,Eric S - Smitte#94855,Dan K - Fizishy#82483,2-1,,1,,IKO,,
4/23/2023 23:59:06,Sawyer T - soyboy#35469,Brian H - havzy#28494,2-1,,1,,RNA,,
4/24/2023 1:04:55,Sylvain T - Iquitos#15484,Maranda L - BlackCanary#59791,2-0,,1,,MOM,,
4/24/2023 1:38:37,Rafael F - Prudent#24319,Sylvain T - Iquitos#15484,2-1,,1,,IKO,,
4/24/2023 12:25:30,Lotte P - Lotte #93345,Eric S - Smitte#94855,2-1,,1,,MOM,,
4/24/2023 13:29:36,Jordan M - JMTron#46639,Jake C - the_man_mulcahey#74753,2-0,,1,,MOM,,
4/24/2023 13:50:46,Chris P - Joker01#66827,Shane K - Malfunktion#31013,2-0,,1,,IKO,,
4/24/2023 14:45:36,Russell S - rstad#89052,Josh G - MrDoops#24495,2-0,,1,,MOM,,
4/24/2023 15:03:55,Brian H - havzy#28494,Jordan M - JMTron#46639,2-1,,1,,MOM,,
4/24/2023 15:27:54,Eric S - Smitte#94855,Josh G - MrDoops#24495,2-0,,1,,MOM,,
4/24/2023 16:05:21,Shane K - Malfunktion#31013,Nicholas K - Bionick#55161,2-1,,1,,MOM,,
4/24/2023 16:53:24,Trevor F - treskies#75643,Serge T - Sergyboy514#39979,2-1,,1,,MOM,,
4/24/2023 17:24:27,Chris O - TheAlphabet#27489,Shane K - Malfunktion#31013,2-0,,1,,IKO,,
4/24/2023 17:50:25,Shuo L - Tamamo#30654,Troy R - Pengwin#05127,2-1,,1,,WAR,,
4/24/2023 18:19:54,Adam S - wizma#29010,Troy R - Pengwin#05127,2-0,,1,Great games!,MOM,,
4/24/2023 18:52:39,Serge T - Sergyboy514#39979,Troy R - Pengwin#05127,2-0,,1,,MOM,,
4/24/2023 19:11:36,Shuo L - Tamamo#30654,Jordan M - JMTron#46639,2-1,,1,,MOM,,
4/24/2023 19:33:00,Reed P - bigfingsnake#86869,Chris Y - Yorke on Games#66909,2-0,,1,GGs! fun feature match,WAR,,
4/24/2023 19:45:34,Trevor F - treskies#75643,Troy R - Pengwin#05127,2-0,,1,,IKO,,
4/24/2023 20:08:03,JP G - jaypiex#97612,Trevor F - treskies#75643,2-0,,1,,MOM,,
4/24/2023 20:52:36,Bob P - HIT#08120,Pedro D - Goombassa#17203,2-0,,1,,MOM,,
4/24/2023 20:59:02,JP G - jaypiex#97612,Lisa T - Amelli#58421,2-0,,1,,WAR,,
4/24/2023 21:49:22,David R - Roooster#49289,Adam S - wizma#29010,2-0,,1,,MOM,,
