Timestamp,Winner Name,Loser Name,Result,Notes,Script Handled,Messaged?
2/17/2025 11:40:10,Tristan W - Capt_Tryst#35137,Colton S - coltoncooper#56958,2-1,,1,1
2/17/2025 12:55:48,Evan L - Evan#97713,Robert B - robertbarrett#30061,2-0,,1,1
2/17/2025 13:27:15,Evan L - Evan#97713,Zachary S - Zcia#67361,2-0,,1,1
2/17/2025 13:38:48,Nick L - Aliphos#10232,Ben P - ChuckNoBlocks#32638,2-1,GGs,1,1
2/17/2025 15:36:21,Sawyer T - soyboy#35469,Eddie R - Lord Sorin#57773,2-1,,1,1
2/17/2025 15:48:15,Robert B - robertbarrett#30061,Zachary S - Zcia#67361,2-0,,1,1
2/17/2025 16:25:56,Wesley C - GigaVoltaic#11782,Robert B - robertbarrett#30061,2-1,,1,1
2/17/2025 16:33:14,Logan J - Numskul#59868,Sabrina S - Sabrina#30505,2-0,,1,1
2/17/2025 16:35:43,Daniel M - HPWizard#40332,Jeremy E - Lhurgoyf#37289,2-0,,1,1
2/17/2025 16:58:04,Tyler G - Pronamel#36740,Miguel B - Ethereus#60108,2-0,,1,1
2/17/2025 17:35:56,Zachary S - Zcia#67361,Eddie R - Lord Sorin#57773,2-1,,1,1
2/17/2025 17:37:36,Richard K - preacher26#59445,Tomás B - EverFightinDuck#44829,2-0,,1,1
2/17/2025 18:41:07,Rafael F - Prudent#24319,Tomás B - EverFightinDuck#44829,2-0,Straight hands ma boi!,1,1
2/17/2025 19:23:51,Ethan L - ethanndow#02818,Zachary S - Zcia#67361,2-1,,1,1
2/17/2025 20:02:57,Alexis M - Alexsfly#67052,Oskar T - ossytubbi#87966,2-1,,1,1
2/17/2025 20:08:35,Philip B - Plipster#75000,Jacob B - jacobbarnett15#95139,2-0,,1,1
2/17/2025 20:14:17,Eikel P - SouLIke#53611,Daniel M - HPWizard#40332,2-0,,1,1
2/17/2025 20:28:06,Edgar A - PlayfulTerror#04926,Elliot H - blobby#99425,2-0,ggs,1,1
2/17/2025 20:39:08,Jacob B - jacobbarnett15#95139,Ethan L - ethanndow#02818,2-0,,1,1
2/17/2025 20:51:02,Colton S - coltoncooper#56958,Joseph S - NotSham#89034,2-0,,1,1
2/17/2025 21:19:39,Mitchel S - SpaghettiMitch#18619,Eikel P - SouLIke#53611,2-0,,1,1
2/17/2025 21:34:43,Ryan H - Kitchensinks#50434,Ryan M - rrrn22#32842,2-0,,1,1
2/17/2025 21:37:24,Mitchel S - SpaghettiMitch#18619,Sawyer T - soyboy#35469,2-0,,1,1
2/17/2025 21:58:49,Ryan H - Kitchensinks#50434,Eric S - smitte#94855,2-1,,1,1
2/17/2025 22:13:19,Daniel M - HPWizard#40332,Nik S - njsiii#50504,2-0,,1,1
2/17/2025 22:29:47,Eric S - smitte#94855,Zeke W - smarmyplatapus#30066,2-1,,1,1
2/17/2025 22:45:49,Robert B - robertbarrett#30061,Miguel B - Ethereus#60108,2-0,,1,1
2/17/2025 22:47:25,Philip B - Plipster#75000,Chris O - Chriso91#46230,2-0,,1,1
2/17/2025 23:31:59,Philip B - Plipster#75000,Sylvain T - Iquitos#15484,2-1,,1,1
2/18/2025 0:17:38,Philip B - Plipster#75000,Preston B - Vorbis#46420,2-1,,1,1
2/18/2025 0:22:59,Logan J - Numskul#59868,Damon B - Nomad#43918,2-0,sweaty games gg,1,1
2/18/2025 1:12:03,Philip B - Plipster#75000,John D - DailyDraft#87013,2-0,,1,1
2/18/2025 10:08:57,Dirk E - BegginBlue#16667,Stefan V - Silversword#06621,2-0,Good games,1,1
2/18/2025 10:21:53,Jeremy E - Lhurgoyf#37289,Tyler G - Pronamel#36740,2-0,gl in the rest!,1,1
2/18/2025 11:31:41,Dominic M - domdoes#32489,Matthias H - Rezreh#11308,2-0,,1,1
2/18/2025 12:22:15,Eric S - smitte#94855,Nicholas K - Bionick#55161,2-0,GGs,1,1
2/18/2025 12:23:39,Adam E - adamend#97520,Dominic M - domdoes#32489,2-1,ggs!,1,1
