Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
10/24/2023 15:54:14,Justin P - Code Pigeon#84057,Caleb G - Whynaut#28590,2-1,,1,,,,,,,,
10/24/2023 17:28:00,Justin P - Code Pigeon#84057,Wei C - Azayaka#83352,2-0,,1,,,,,,,,
10/24/2023 19:42:55,Emmett F - Sepulchure#51526,Ryan D - TheSlickness#10857,2-0,,1,,,,,,,,
10/24/2023 22:38:26,Mark W - mmw125#43637,Robert M - LaughItUp#38462,2-0,,1,Had to play on mtgo since arena wasn't working,,,,,,,
10/24/2023 22:43:40,Caleb K - BlackEcho#09078,Chris R - Sinkwater#27508,2-1,,1,ggs,,,,,,,
10/24/2023 23:14:57,Caleb K - BlackEcho#09078,Chris P - Joker01#66827,2-1,,1,ggs,,,,,,,
10/24/2023 23:16:08,Chris R - Sinkwater#27508,Adam S - wizma#29010,2-0,,1,,,,,,,,
10/25/2023 12:00:10,Noah B - Sisco#71800,Phillip M - Fat_kitty#63794,2-0,,1,,,,,,,,
10/25/2023 16:20:51,John R - Ged#72302,Juan Q - JuanCu#95616,2-1,,1,ggs,,,,,,,
10/25/2023 16:44:56,Phillip M - Fat_kitty#63794,Jordan M - JMTron#46639,2-0,,1,,,,,,,,
10/25/2023 18:28:59,Jordan M - JMTron#46639,Chris P - Joker01#66827,2-1,,1,,,,,,,,
10/25/2023 19:37:55,Mark W - mmw125#43637,Dave D - SizzleDizzle#55788,2-0,,1,,,,,,,,
10/25/2023 21:06:25,Michael C - Kentari#73068,Mark W - mmw125#43637,2-0,,1,gg,,,,,,,
10/25/2023 23:16:19,Maranda L - BlackCanary#59791,Robert M - LaughItUp#38462,2-0,,1,,,,,,,,
10/26/2023 19:54:31,Michael C - Kentari#73068,Maranda L - BlackCanary#59791,2-1,,1,ggs,,,,,,,
10/26/2023 21:04:55,Maranda L - BlackCanary#59791,Richard K - preacher26#59445,2-0,,1,,,,,,,,
10/26/2023 22:30:12,Emmett F - Sepulchure#51526,Michael C - Kentari#73068,2-1,,1,,,,,,,,
10/26/2023 22:40:22,Robert M - LaughItUp#38462,Caleb K - BlackEcho#09078,2-1,,1,,,,,,,,
10/26/2023 23:17:02,Ryan D - TheSlickness#10857,Robert M - LaughItUp#38462,2-1,,1,,,,,,,,
10/26/2023 23:53:44,Ryan D - TheSlickness#10857,Caleb K - BlackEcho#09078,2-0,,1,,,,,,,,
10/27/2023 12:02:29,John R - Ged#72302,Denis A - MrGoloS#58727,2-1,,1,ggs,,,,,,,
10/27/2023 12:48:27,Caleb K - BlackEcho#09078,John R - Ged#72302,2-1,,1,ggs,,,,,,,
10/27/2023 13:01:14,Adam S - wizma#29010,Denis A - MrGoloS#58727,2-1,,1,Welcome to the league!!! Note: Denis accidentally played a 40 card deck. ,,,,,,,
10/27/2023 14:18:37,Maranda L - BlackCanary#59791,Denis A - MrGoloS#58727,2-0,,1,,,,,,,,
10/27/2023 15:19:48,Adam S - wizma#29010,Joe T - elasticity#07466,2-0,,1,Good games!,,,,,,,
10/27/2023 16:12:11,Joe T - elasticity#07466,Dave D - SizzleDizzle#55788,2-0,,1,,,,,,,,
10/27/2023 18:13:06,Lotte P - Lotte #93345,Ryan D - TheSlickness#10857,2-1,,1,,,,,,,,
10/27/2023 18:35:25,Adam S - wizma#29010,Michael M - Atombomb11991#07305,2-1,,1,Ggs! Survived the mull to 4!,,,,,,,
10/27/2023 18:48:03,Dan A - BEATDOWNBRINGA#04779,John P - gokuorgohome#51511,2-0,,1,,,,,,,,
10/27/2023 19:20:51,Krzys H - FaceBeardMcBeard#24731,Wyatt C - hotdolphin#30769,2-0,,1,,,,,,,,
10/27/2023 21:03:50,Dustin D - Bloone#16018,Nik S - njsiii#50504,2-1,,1,,,,,,,,
10/27/2023 23:48:58,Steve T - strout#45062,Maxime R - Tasigurr#89921,2-0,,1,GGs,,,,,,,
10/28/2023 0:14:52,Jack H - Rakic#98298,Steve T - strout#45062,2-1,,1,no more monstrosaurs 😭,,,,,,,
10/28/2023 0:57:35,Wei C - Azayaka#83352,Maxime R - Tasigurr#89921,2-1,,1,,,,,,,,
10/28/2023 2:54:18,Steve T - strout#45062,Denis A - MrGoloS#58727,2-0,,1,GGs!,,,,,,,
10/28/2023 4:03:14,Wei C - Azayaka#83352,Jaidin M - MnemonicDevice#38774,2-0,,1,,,,,,,,
10/28/2023 7:59:14,Thijn H - Thi-Jin#83537,Paul G - TheDragon#61289,2-0,,1,,,,,,,,
10/28/2023 8:16:26,Eric S - Smitte#94855,Paul G - TheDragon#61289,2-0,,1,,,,,,,,
10/28/2023 8:32:18,Paul G - TheDragon#61289,Krzys H - FaceBeardMcBeard#24731,2-1,,1,,,,,,,,
10/28/2023 10:42:57,Bob P - HIT#08120,Paul G - TheDragon#61289,2-1,,1,,,,,,,,
10/28/2023 11:25:54,Wyatt C - hotdolphin#30769,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,,,,,,,
10/28/2023 11:53:09,Wyatt C - hotdolphin#30769,Johnny M - Johnny#69519,2-1,,1,,,,,,,,
10/28/2023 13:32:04,Steve T - strout#45062,Noah B - Sisco#71800,2-1,,1,GGs!,,,,,,,
10/28/2023 13:53:41,Bob P - HIT#08120,Kevin I - kni1993#29285,2-0,,1,,,,,,,,
