Timestamp,Winner Name,Loser Name,Result,Was this a Dragon Match?,"If this was a Dragon Match, who was the Dragon?",Notes,Was this a field stip match? ,Comeback Pack,Script Handled,Bot Messaged,Reward Selected
5/24/2025 21:04:52,Alex L - Alaexaender#76659,John D - DailyDraft#87013,2-0,,,,No,SNC,1,1,
5/24/2025 21:52:48,Maxime R - tasigurr#89921,Joe T - elasticity#07466,2-0,,,,Yes,STX,1,1,
5/24/2025 22:08:25,Alex L - Alaexaender#76659,Aaron B - Bevelman#18220,2-0,,,,No,STX,1,1,
5/24/2025 22:14:07,Zack H - HackZolt#31077,Sawyer T - soyboy#35469,2-0,,,"Nice games, let's open something good!",No,NEO,1,1,
5/24/2025 23:17:14,Caleb G - Whynaut#28590,Salvatore P - Unborne#42237,2-0,,,,No,SNC,1,1,
5/25/2025 0:55:06,Jamie W - Jamie#45846,Joe T - elasticity#07466,2-0,,,,Yes,MID,1,1,
5/25/2025 0:55:33,Steve T - strout#45062,Alex H - Merriman#08092,2-0,,,GGs!,No,BRO,1,1,
5/25/2025 2:47:35,Maxime R - tasigurr#89921,Steve T - strout#45062,2-1,,,,No,STX,1,1,
5/25/2025 7:42:36,Evan L - Evan#97713,Buster S - Hugester#31975,2-1,,,,Yes,STX,1,1,
5/25/2025 9:11:47,Evan L - Evan#97713,Matthias H - Rezreh#11308,2-0,,,,Yes,DMU,1,1,
5/25/2025 10:04:48,John P - gokuorgohome#51511,Matthias H - Rezreh#11308,2-1,,,,No,BRO,1,1,
5/25/2025 11:33:30,Buster S - Hugester#31975,Ryan M - rrrn22#32842,2-1,,,,No,STX,1,1,
5/25/2025 11:45:50,Paul R - QildorCrana#01941,Oskar T - ossytubbi#87966,2-1,,,GGs,No,NEO,1,1,
5/25/2025 11:59:29,Alex O - Poisonedchicken#66453,James M - Demonic Tutor#02131,2-0,,,,No,STX,1,1,
5/25/2025 12:42:37,Evan C - PeasOfCrab#00133,Kevin I - Kni1993#29285,2-0,,,,No,SNC,1,1,
5/25/2025 13:05:00,Steve T - strout#45062,Chris Y - Yorke on Games#66909,2-0,,,GGs!,No,SNC,1,1,
5/25/2025 13:16:26,Aaron B - Bevelman#18220,Alex O - Poisonedchicken#66453,2-0,,,ggs,No,DMU,1,1,
5/25/2025 13:19:39,John P - gokuorgohome#51511,Evan L - Evan#97713,2-1,,,,No,BRO,1,1,
5/25/2025 13:36:36,Chris Y - Yorke on Games#66909,Zeke W - smarmyplatapus#30066,2-0,,,,Yes,SNC,1,1,
5/25/2025 14:26:38,Alex M - ItsYaBoiAlex#76222,Zack H - HackZolt#31077,2-1,,,give the man some good red,No,BRO,1,1,
5/25/2025 15:09:37,Matthias H - Rezreh#11308,Jamie W - Jamie#45846,2-0,,,,No,MID,1,1,
5/25/2025 15:10:11,Ben P - ChuckNoBlocks#32638,Daniel L - Yellfior#73187,2-0,,,,No,STX,1,1,
5/25/2025 15:34:10,Aaron B - Bevelman#18220,John D - DailyDraft#87013,2-1,,,,Yes,STX,1,1,
