Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Messaged?,Was this match a Duel?
4/29/2024 17:39:01,Adam S - wizma#29010,Dave T - RestiveNebula#74573,2-0,,1,Great games! Welcome to the League!,1,No
4/29/2024 17:47:31,Philip B - Plipster#75000,Luke G - Juno#19210,2-0,,1,,1,No
4/29/2024 18:29:16,Philip B - Plipster#75000,Christian L - xXalpineXx#54284,2-1,,1,,1,No
4/29/2024 18:52:59,Christian L - xXalpineXx#54284,Justin P - Code Pigeon#84057,2-1,,1,,1,No
4/29/2024 19:17:13,Rafael F - Prudent#24319,Caleb G - Whynaut#28590,2-0,,1,Finally redeemed myself!,1,No
4/29/2024 19:27:10,James Mc - fireball#69952,Justin P - Code Pigeon#84057,2-0,,1,,1,No
4/29/2024 19:42:28,Edgar A - PlayfulTerror#04926,Christian L - xXalpineXx#54284,2-1,,1,GG's,1,No
4/29/2024 20:57:33,Justin P - Code Pigeon#84057,Luke G - Juno#19210,2-1,,1,,1,No
4/29/2024 20:58:45,Chris Y - Yorke on Games#66909,Adam S - wizma#29010,2-0,,1,Feature Match!!,1,No
4/29/2024 21:33:49,Justin P - Code Pigeon#84057,Chris D - Stereolab#37691,2-1,,1,,1,No
4/29/2024 21:58:33,Zeke W - smarmyplatapus#30066,Sawyer T - soyboy#35469,2-1,,1,ggs!,1,Yes
4/29/2024 22:04:25,Alexis R - Lexabombtastic#98940,Dan A - BEATDOWNBRINGA#04779,2-1,,1,,1,No
4/29/2024 22:31:33,Zeke W - smarmyplatapus#30066,Ron C - Lennor#52740,2-0,,1,,1,No
4/29/2024 22:42:50,Preston B - Vorbis#46420,Jeremy E - Lhurgoyf#37289,2-0,,1,,1,No
4/29/2024 22:49:00,Dan A - BEATDOWNBRINGA#04779,Mathieu L - Wayl0n#81231,2-0,,1,,1,No
4/29/2024 23:29:02,Mathieu L - Wayl0n#81231,Damian S - ButCrackMagic#71223,2-0,,1,,1,No
4/29/2024 23:46:48,Alexis R - Lexabombtastic#98940,Sean Sp - Talrand#06333,2-1,,1,,1,No
4/30/2024 8:26:17,Daniel G - FriskyHobbit#43185,Jaidin M - MnemonicDevice#38774,2-0,,1,,1,No
4/30/2024 10:02:28,Joaquin E - DiabolicMachine#23891,Jaidin M - MnemonicDevice#38774,2-1,,1,,1,No
4/30/2024 14:34:40,Paul S - YungChunk#45977,Richard K - preacher26#59445,2-1,,1,ggs!,1,No
4/30/2024 15:00:53,Thijn H - Thi-Jin#83537,Paul S - YungChunk#45977,2-0,,1,,1,No
4/30/2024 17:09:30,Alexandre GA - AGA#86404,Phillip M - Fat_kitty#63794,2-0,,1,,1,No
4/30/2024 17:20:01,Shuo L - Tamamo#30654,Danny S - Scout_#06819,2-1,,1,,1,No
4/30/2024 17:50:27,Nicholas K - Bionick#55161,James Mc - fireball#69952,2-0,,1,,1,No
4/30/2024 20:17:14,Lukas G - lukasaarong#09757,Evan L - Evan#97713,2-1,,1,,1,No
4/30/2024 20:20:03,Maranda L - BlackCanary#59791,Damian S - ButCrackMagic#71223,2-0,,1,,1,No
4/30/2024 20:46:38,Edgar A - PlayfulTerror#04926,Damian S - ButCrackMagic#71223,2-0,,1,GG's,1,No
4/30/2024 20:59:38,Ryan D - TheSlickness#10857,Maranda L - BlackCanary#59791,2-1,,1,,1,No
4/30/2024 21:24:34,Lukas G - lukasaarong#09757,Ryan D - TheSlickness#10857,2-1,,1,,1,No
4/30/2024 22:06:30,Michael M - Atombomb11991#07305,Lukas G - lukasaarong#09757,2-1,,1,,1,No
4/30/2024 22:27:31,Lukas G - lukasaarong#09757,Sawyer T - soyboy#35469,2-0,,1,,1,No
4/30/2024 22:56:38,MItchel S - SpaghettiMitch#18619,Michael M - Atombomb11991#07305,2-1,,1,,1,No
4/30/2024 22:59:42,Sean Sp - Talrand#06333,Nicholas K - Bionick#55161,2-0,,1,,1,No
4/30/2024 23:01:44,Lukas G - lukasaarong#09757,James M - Sol_Ring#09384,2-0,,1,,1,No
4/30/2024 23:49:35,Nicholas K - Bionick#55161,Damian S - ButCrackMagic#71223,2-0,,1,,1,No
5/1/2024 9:47:23,Daniel G - FriskyHobbit#43185,Thijn H - Thi-Jin#83537,2-1,,1,,1,No
5/1/2024 10:21:52,Thijn H - Thi-Jin#83537,Jaidin M - MnemonicDevice#38774,2-0,,1,,1,No
5/1/2024 11:03:03,Jaidin M - MnemonicDevice#38774,John R - Ged#72302,2-0,,1,,1,No
5/1/2024 12:24:38,Thijn H - Thi-Jin#83537,John R - Ged#72302,2-1,,1,,1,No
5/1/2024 13:04:08,Reed P - bigfingsnake#86869,Paul S - YungChunk#45977,2-0,,1,,1,No
5/1/2024 14:16:24,Reed P - bigfingsnake#86869,Thijn H - Thi-Jin#83537,2-0,,1,,1,No
5/1/2024 19:10:43,Reed P - bigfingsnake#86869,James Mc - fireball#69952,2-1,,1,,1,No
5/1/2024 19:47:47,Enrique O - Caex#39549,Edgar A - PlayfulTerror#04926,2-1,,1,,1,No
5/1/2024 20:49:22,James Mc - fireball#69952,Niko G - Thundertnuc#90488,2-1,,1,,1,No
5/1/2024 21:39:52,Ron C - Lennor#52740,Mathieu L - Wayl0n#81231,2-0,,1,,1,No
5/1/2024 21:47:45,MItchel S - SpaghettiMitch#18619,Enrique O - Caex#39549,2-1,,1,,1,No
5/1/2024 21:59:47,Josh T - jathornton#23245,Ron C - Lennor#52740,2-0,,1,,1,No
5/1/2024 22:14:58,Joaquin E - DiabolicMachine#23891,Riley A - slammajambrose#86597,2-0,,1,,1,No
5/1/2024 22:37:45,Steve T - strout#45062,Ryan D - TheSlickness#10857,2-1,,1,GGs!,1,Yes
5/1/2024 22:39:26,Phillip M - Fat_kitty#63794,Robert M - LaughItUp#38462,2-1,,1,Oko strikes again,1,No
5/1/2024 22:40:53,Zeke W - smarmyplatapus#30066,Preston B - Vorbis#46420,2-0,,1,ggs!,1,No
5/1/2024 23:32:17,Robert M - LaughItUp#38462,Josh T - jathornton#23245,2-0,,1,,1,No
5/1/2024 23:46:55,Preston B - Vorbis#46420,Robert M - LaughItUp#38462,2-0,,1,,1,No
5/2/2024 10:48:37,Duncan M - RobRoyDuncan#16652,Richard K - preacher26#59445,2-0,,1,,1,No
5/2/2024 11:11:25,Nick H - JetPilot#02453,Max K - Lenindner#14296,2-1,,1,,1,No
5/2/2024 12:51:29,Paul S - YungChunk#45977,Max K - Lenindner#14296,2-1,,1,ggs!,1,No
5/2/2024 13:29:26,Michael M - Atombomb11991#07305,Steve T - strout#45062,2-1,,1,,1,Yes
5/2/2024 14:42:18,Marley L - BeautyAndTheGitrog#98732,Max K - Lenindner#14296,2-1,,1,,1,No
5/2/2024 20:45:06,Alexis R - Lexabombtastic#98940,Edgar A - PlayfulTerror#04926,2-1,,1,,1,No
5/2/2024 21:36:08,Johnny M - Johnny#69519,Andrew M - Robespierre#01976,2-0,,1,,1,No
5/2/2024 22:26:22,Josh T - jathornton#23245,Andrew M - Robespierre#01976,2-1,,1,,1,No
5/2/2024 23:15:07,Chris D - Stereolab#37691,Robert M - LaughItUp#38462,2-0,,1,,1,No
5/2/2024 23:30:04,Preston B - Vorbis#46420,Sylvain T - Iquitos#15484,2-0,,1,,1,No
5/2/2024 23:43:59,Daniel G - FriskyHobbit#43185,Julian K - Citizen_Snippies#31245,2-1,,1,,1,No
5/2/2024 23:53:24,Chris D - Stereolab#37691,Paul S - YungChunk#45977,2-0,,1,,1,No
5/3/2024 0:16:06,Andrew M - Robespierre#01976,Sylvain T - Iquitos#15484,2-0,,1,,1,No
5/3/2024 2:58:53,Shuo L - Tamamo#30654,Demeow L - Demeow#40405,2-1,,1,,1,No
5/3/2024 9:05:13,Joe T - elasticity#07466,Marley L - BeautyAndTheGitrog#98732,2-1,,1,,1,No
5/3/2024 9:53:02,Joe T - elasticity#07466,Demeow L - Demeow#40405,2-1,,1,,1,No
5/3/2024 10:27:46,Enrique O - Caex#39549,Marley L - BeautyAndTheGitrog#98732,2-0,,1,,1,No
5/3/2024 12:02:30,Zach L - Redwood#12970,Riley A - slammajambrose#86597,2-0,,1,,1,No
5/3/2024 12:27:30,Duncan M - RobRoyDuncan#16652,Danny S - Scout_#06819,2-0,,1,,1,No
5/3/2024 13:26:45,Demeow L - Demeow#40405,Andrew M - Robespierre#01976,2-0,,1,,1,No
5/3/2024 14:44:20,Danny S - Scout_#06819,Joe T - elasticity#07466,2-0,,1,,1,No
5/3/2024 16:03:11,Joe T - elasticity#07466,Dustin D - Bloone#16018,2-0,,1,,1,No
5/3/2024 17:27:23,Matthias H - Rezreh#11308,Eric S - smitte#94855,2-1,,1,,1,Yes
5/3/2024 17:28:39,Dirk E - BegginBlue#16667,Paul G - TheDragon#61289,2-0,,1,,1,No
