Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack,,Winner Colour Pair,Loser Colour Pair,Punishment Pack,,Punishment Pack choice?
9/10/2023 22:04:54,Maranda L - BlackCanary#59791,Caleb K - BlackEcho#09078,2-1,,1,,WOE,,,,,,
9/10/2023 22:47:38,Steve T - strout#45062,Nik S - njsiii#50504,2-0,,1,GGs!,WOE,,,,,,
9/10/2023 23:06:46,Pierre-Marc D - pmduguay#67919,Michael M - Atombomb11991#07305,2-1,,1,,WOE,,,,,,
9/10/2023 23:43:52,Philip B - Plipster#75000,Nicholas K - Bionick#55161,2-0,,1,,WOE,,,,,,
9/11/2023 0:39:07,Philip B - Plipster#75000,Sawyer T - soyboy#35469,2-1,,1,,WOE,,,,,,
9/11/2023 1:39:28,Philip B - Plipster#75000,Robert M - LaughItUp#38462,2-1,,1,,WOE,,,,,,
9/11/2023 2:00:53,Ben G - perrako#88435,Philip B - Plipster#75000,2-0,,1,,WOE,,,,,,
9/11/2023 2:29:34,Ben G - perrako#88435,Robert M - LaughItUp#38462,2-1,,1,,WOE,,,,,,
9/11/2023 11:36:20,Pedro D - Goombassa#17203,Austin C - theCortine#41513,2-1,,1,GGs,WOE,,,,,,
9/11/2023 12:00:06,Thijn H - Thi-Jin#83537,Pedro D - Goombassa#17203,2-0,,1,,WOE,,,,,,
9/11/2023 12:19:03,John R - Ged#72302,Austin C - theCortine#41513,2-1,,1,ggs despite the mana issues.,WOE,,,,,,
9/11/2023 12:53:16,Thijn H - Thi-Jin#83537,Caleb K - BlackEcho#09078,2-0,,1,,WOE,,,,,,
9/11/2023 13:41:38,John P - gokuorgohome#51511,Thijn H - Thi-Jin#83537,2-1,,1,,WOE,,,,,,
9/11/2023 16:57:41,Tony G - YnotRock#76764,Jeremy E - Lhurgoyf#37289,2-0,,1,,MOM,,,,,,
9/11/2023 17:27:04,Jondrion J - jondrion#40531,Chris Y - Yorke on Games#66909,2-1,,1,,MOM,,,,,,
9/11/2023 17:55:32,Chris Y - Yorke on Games#66909,Chris P - Joker01#66827,2-0,,1,The Exile Zone!,WOE,,,,,,
9/11/2023 18:00:33,Johnny M - Johnny#69519,Reed P - bigfingsnake#86869,2-0,,1,Total banger,WOE,,,,,,
9/11/2023 18:31:45,Chris Y - Yorke on Games#66909,Reed P - bigfingsnake#86869,2-0,,1,Fight spells!,WOE,,,,,,
9/11/2023 18:46:58,Rafael F - Prudent#24319,Cayden T - DontMessWithMyCards#65625,2-0,,1,Let the flyers reign supreme!,WOE,resubmitted correct result,,,,,
9/11/2023 18:54:23,Jordan M - JMTron#46639,Edgar A - PlayfulTerror#04926,2-0,,1,,WOE,,,,,,
9/11/2023 19:50:33,Chris Y - Yorke on Games#66909,Juan Q - JuanCu#95616,2-0,,1,"Rough start, but GGs!",MOM,,,,,,
