Timestamp,Winner Name,Loser Name,Result,Punishment Pack,Pack Generated,Notes,Punishment Pack - must be ONE for Compleated players,,Punishment Pack choice?
2/21/2023 18:49:13,Jaidin M - MnemonicDevice#38774,Maxwell M - castanet#19080,2-0,,1,,NEO,,
2/21/2023 19:43:24,Sawyer T - soyboy#35469,Mike P - UnwieldyBiscuit#26471,2-0,,1,,DMU,,
2/21/2023 19:56:55,Dennis K - Mazamune#87737,Côme S - C_SM#79564,2-0,,1,close game - fun game,NEO,,
2/21/2023 20:31:19,Sawyer T - soyboy#35469,Kyle C - AFKyle#29319,2-1,,1,,BRO,,
2/21/2023 21:01:27,Sawyer T - soyboy#35469,James T - RevisedIsland#19780,2-1,,1,,BRO,,
2/21/2023 21:32:39,Sawyer T - soyboy#35469,Brendan Y - Earthmover#56028,2-0,,1,,VOW,,
2/21/2023 21:58:22,Caleb G - Whynaut#28590,Christopher G - oompaloompa#65002,2-0,,1,,BRO,,
2/21/2023 22:04:45,Brendan Y - Earthmover#56028,Nicholas K - Bionick#55161,2-0,,1,,NEO,,
2/21/2023 22:26:05,Caleb G - Whynaut#28590,Côme S - C_SM#79564,2-0,,1,,NEO,,
2/21/2023 23:03:36,Mitchel S - SpaghettiMitch#18619,Nicholas K - Bionick#55161,2-1,,1,,NEO,,
2/21/2023 23:21:35,Mike G - eatmecompletely#43399,Sylvain T - Iquitos#15484,2-1,,1,,ONE,,
2/22/2023 0:00:03,Mitchel S - SpaghettiMitch#18619,Côme S - C_SM#79564,2-1,,1,,NEO,,
2/22/2023 0:41:38,Sylvain T - Iquitos#15484,Sean S - UnknownThursday#95034,2-0,,1,GG!,ONE,,
2/22/2023 10:05:08,Anthony S - Kingboars#88381,Krzys H - FaceBeardMcBeard#24731,2-0,,1,,ONE,,
2/22/2023 15:39:15,Chris P - Joker01#66827,Aaron H - UlamogOurSaviour#56444,2-0,,1,,ONE,,
2/22/2023 15:59:54,Anthony S - Kingboars#88381,Lotte P - Lotte #93345,2-0,,1,,ONE,,
2/22/2023 16:16:30,Anthony S - Kingboars#88381,Shane K - Malfunktion#31013,2-0,,1,,ONE,,
2/22/2023 17:21:28,Anthony S - Kingboars#88381,Xander B - Loudnes#53855,2-1,,1,,ONE,,
2/22/2023 20:08:43,Mitchel S - SpaghettiMitch#18619,Benson P - sick beak#62405,2-0,,1,,ONE,,
2/22/2023 20:56:19,Benson P - sick beak#62405,Chris R - Sinkwater#27508,2-0,,1,,ONE,,
2/22/2023 23:30:14,Mitchel S - SpaghettiMitch#18619,Sylvain T - Iquitos#15484,2-1,,1,,ONE,,
2/23/2023 13:06:35,Chris P - Joker01#66827,Jake C - the_man_mulcahey#74753,2-1,,1,,SNC,,
2/23/2023 15:59:09,Raghu B - midnitfalcon#19670,Dennis K - Mazamune#87737,2-0,,1,,NEO,,
2/23/2023 17:00:35,Jordan M - JMTron#46639,Raghu B - midnitfalcon#19670,2-1,,1,,DMU,,
2/23/2023 20:16:57,Serge T - Sergyboy514#39979,Christopher G - oompaloompa#65002,2-0,,1,,BRO,,
2/23/2023 21:37:42,Russell S - rstad#89052,Dennis K - Mazamune#87737,2-0,,1,,NEO,,
2/23/2023 22:15:50,Aaron H - UlamogOurSaviour#56444,Chris R - Sinkwater#27508,2-0,,1,,ONE,,
2/23/2023 22:48:53,Maranda L - BlackCanary#59791,Zach C - ZachCarr#31881,2-0,,1,,ONE,,
2/23/2023 23:15:12,Zach C - ZachCarr#31881,Aaron H - UlamogOurSaviour#56444,2-1,,1,,ONE,,
2/23/2023 23:36:26,Mitchel S - SpaghettiMitch#18619,Sean S - UnknownThursday#95034,2-1,,1,,ONE,,
2/23/2023 23:47:38,Sylvain T - Iquitos#15484,Maranda L - BlackCanary#59791,2-1,,1,,ONE,,
2/24/2023 0:10:40,Zach C - ZachCarr#31881,Sean S - UnknownThursday#95034,2-0,,1,,ONE,,
2/24/2023 0:24:33,Michael M - Atombomb11991#07305,Emmett F - Sepulchure#51526,2-0,,1,,ONE,,
2/24/2023 0:43:49,Zach C - ZachCarr#31881,Kyle C - AFKyle#29319,2-0,,1,,ONE,,
2/24/2023 0:45:33,Sylvain T - Iquitos#15484,Zach C - ZachCarr#31881,2-0,,1,,ONE,,
2/24/2023 12:22:55,Raghu B - midnitfalcon#19670,Christopher G - oompaloompa#65002,2-0,,1,,BRO,,
2/24/2023 14:28:47,Emmett F - Sepulchure#51526,Côme S - C_SM#79564,2-0,,1,,NEO,,
2/24/2023 17:26:21,Eric S - Smitte#94855,Paul G - TheDragon#61289,2-0,,1,,ONE,,
2/24/2023 17:29:37,Patrick M - FullestJ#22936,Chris Y - Yorke on Games#66909,2-1,,1,,ONE,,
2/24/2023 17:35:43,Krzys H - FaceBeardMcBeard#24731,Jesse R - Zephaer#38941,2-0,,1,,ONE,,
2/24/2023 17:54:58,Paul G - TheDragon#61289,John P - gokuorgohome#51511,2-0,,1,,ONE,,
2/24/2023 17:57:21,Tim M - Ancra#27039,Amir A - HowDoesOneChoose#47480,2-0,,1,,ONE,,
2/24/2023 18:25:33,Krzys H - FaceBeardMcBeard#24731,Troy R - Pengwin#05127,2-1,,1,,ONE,,
2/24/2023 18:28:33,Mike G - eatmecompletely#43399,Chris Y - Yorke on Games#66909,2-1,,1,,ONE,,
2/24/2023 18:29:25,Jesse R - Zephaer#38941,Tim M - Ancra#27039,2-0,,1,,NEO,,
2/24/2023 18:53:04,Mitchel S - SpaghettiMitch#18619,John P - gokuorgohome#51511,2-1,,1,,ONE,,
2/24/2023 19:12:41,Dan A - BEATDOWNBRINGA#04779,Lee B - MagicMorningBrew#76946,2-0,,1,,NEO,,
2/24/2023 19:13:32,Jesse R - Zephaer#38941,Troy R - Pengwin#05127,2-0,,1,,ONE,,
2/24/2023 19:24:21,Justin P - Code Pigeon#84057,Serge T - Sergyboy514#39979,2-0,,1,,NEO,,
2/24/2023 19:25:11,Chris Y - Yorke on Games#66909,Krzys H - FaceBeardMcBeard#24731,2-0,,1,Zenith! But still.,ONE,,
2/24/2023 19:45:09,Justin P - Code Pigeon#84057,Cody-Rayce MG - Rayce#56572,2-0,,1,,ONE,,
2/24/2023 20:00:26,Maxime R - Tasigurr#89921,Mike G - eatmecompletely#43399,2-0,,1,,ONE,,
2/24/2023 20:00:53,Lee B - MagicMorningBrew#76946,Chris Y - Yorke on Games#66909,2-1,,1,,ONE,,
2/24/2023 20:23:01,Maxime R - Tasigurr#89921,Cody-Rayce MG - Rayce#56572,2-0,,1,,ONE,,
2/24/2023 20:29:03,Justin P - Code Pigeon#84057,Lee B - MagicMorningBrew#76946,2-1,,1,,NEO,,
2/24/2023 20:40:50,Maxime R - Tasigurr#89921,Jake C - the_man_mulcahey#74753,2-0,,1,,ONE,,
2/24/2023 20:44:56,Troy R - Pengwin#05127,Emmett F - Sepulchure#51526,2-1,,1,,ONE,,
2/24/2023 20:47:39,Sawyer T - soyboy#35469,John P - gokuorgohome#51511,2-1,,1,,ONE,,
2/24/2023 21:00:51,Jake C - the_man_mulcahey#74753,Justin P - Code Pigeon#84057,2-1,,1,,NEO,,
2/24/2023 21:04:41,Lee B - MagicMorningBrew#76946,Maxime R - Tasigurr#89921,2-1,,1,,ONE,,
2/24/2023 21:11:25,Troy R - Pengwin#05127,James T - RevisedIsland#19780,2-1,,1,,ONE,,
2/24/2023 21:17:09,Sawyer T - soyboy#35469,Eric S - Smitte#94855,2-0,,1,,ONE,,
